field,name,ra,dec
171,UW171,157.04919147955758,3.695360008832602
172,UW172,159.52433770203368,3.695360008832602
173,UW173,161.9994839245098,3.695360008832602
174,UW174,164.47463014698593,3.695360008832602
175,UW175,166.94977636946203,3.695360008832602
176,UW176,169.42492259193813,3.695360008832602
177,UW177,171.90006881441425,3.695360008832602
178,UW178,174.37521503689038,3.695360008832602
179,UW179,176.85036125936648,3.695360008832602
180,UW180,179.32550748184258,3.695360008832602
181,UW181,181.8006537043187,3.695360008832602
182,UW182,184.27579992679483,3.695360008832602
183,UW183,186.75094614927093,3.695360008832602
184,UW184,189.22609237174703,3.695360008832602
185,UW185,191.70123859422316,3.695360008832602
186,UW186,194.17638481669928,3.695360008832602
187,UW187,196.65153103917538,3.695360008832602
188,UW188,199.12667726165148,3.695360008832602
189,UW189,201.6018234841276,3.695360008832602
190,UW190,204.07696970660373,3.695360008832602
191,UW191,206.55211592907983,3.695360008832602
192,UW192,209.02726215155593,3.695360008832602
193,UW193,211.50240837403206,3.695360008832602
194,UW194,213.97755459650818,3.695360008832602
195,UW195,216.45270081898428,3.695360008832602
196,UW196,218.92784704146038,3.695360008832602
197,UW197,221.4029932639365,3.695360008832602
198,UW198,223.87813948641264,3.695360008832602
199,UW199,226.35328570888873,3.695360008832602
200,UW200,228.82843193136483,3.695360008832602
201,UW201,231.30357815384096,3.695360008832602
202,UW202,233.7787243763171,3.695360008832602
203,UW203,236.25387059879318,3.695360008832602
204,UW204,238.72901682126928,3.695360008832602
205,UW205,241.2041630437454,3.695360008832602
206,UW206,243.67930926622154,3.695360008832602
207,UW207,246.15445548869764,3.695360008832602
208,UW208,117.49647124374704,5.500360008832602
209,UW209,119.97789672888835,5.500360008832602
210,UW210,122.45932221402967,5.500360008832602
211,UW211,124.94074769917098,5.500360008832602
212,UW212,127.4221731843123,5.500360008832602
213,UW213,129.90359866945363,5.500360008832602
214,UW214,132.38502415459493,5.500360008832602
215,UW215,134.86644963973623,5.500360008832602
216,UW216,137.34787512487756,5.500360008832602
217,UW217,139.8293006100189,5.500360008832602
218,UW218,142.3107260951602,5.500360008832602
219,UW219,144.7921515803015,5.500360008832602
220,UW220,147.27357706544282,5.500360008832602
221,UW221,149.75500255058415,5.500360008832602
222,UW222,152.23642803572545,5.500360008832602
223,UW223,154.71785352086675,5.500360008832602
224,UW224,157.19927900600808,5.500360008832602
225,UW225,159.6807044911494,5.500360008832602
226,UW226,162.16212997629071,5.500360008832602
227,UW227,164.64355546143202,5.500360008832602
228,UW228,167.12498094657334,5.500360008832602
229,UW229,169.60640643171467,5.500360008832602
230,UW230,172.08783191685598,5.500360008832602
231,UW231,174.56925740199728,5.500360008832602
232,UW232,177.0506828871386,5.500360008832602
233,UW233,179.53210837227994,5.500360008832602
234,UW234,182.01353385742124,5.500360008832602
235,UW235,184.49495934256254,5.500360008832602
236,UW236,186.97638482770387,5.500360008832602
237,UW237,189.4578103128452,5.500360008832602
238,UW238,191.9392357979865,5.500360008832602
